,name,id_prod_company,id
189,Warner Bros.,6194,36929
190,Morgan Creek Productions,10210,36929
191,The Movie Network (TMN),3388,9102
192,Allegro Films,4899,9102
193,Fuji Eight Company Ltd.,7958,9102
194,Fries Film Group,23096,9102
195,Super Ecran,23097,9102
196,Triumph Films,23098,9102
197,Zweites Deutsches Fernsehen (ZDF),4606,124626
198,Ciak Filmproduktion,83201,124626
199,Bluehorse Films,93174,124626
200,Miramax Films,14,27526
201,Columbia Pictures Corporation,441,9623
202,I.R.I.B. Channel 2,38953,46785
203,Ferdos Films,38954,46785
204,Miramax Films,14,400
205,Bergen Film,575,880
206,Bard Entertainments,576,880
207,NPS Televisie,577,880
208,BET Pictures,38196,146599
209,United Image Entertainme,38197,146599
210,Playhouse International Pictures,2492,8447
211,The Samuel Goldwyn Company,8888,8447
212,Hollywood Pictures,915,10534
213,Largo Entertainment,1644,10534
214,Scott Free Productions,1645,10534
215,Twentieth Century Fox Film Corporation,306,17414
216,Joe Wizan/Todd Black,3311,17414
217,Paramount Pictures,4,13997
218,Paramount Pictures,4,2086
219,Miramax Films,14,61548
220,Addis Wechsler Pictures,4665,61548
221,TriStar Pictures,559,9095
222,NFH Productions,18737,9095
223,Paramount Pictures,4,12158
224,Miramax Films,14,9283
225,Woods Entertainment,979,9283
226,Twentieth Century Fox Film Corporation,306,9208
227,WCG Entertainment Productions,456,9208
228,Mark Gordon Productions,11362,9208
229,Castle Rock Entertainment,97,40154
230,Midwinter Films,75942,40154
231,Egg Pictures,802,406
232,PolyGram Filmed Entertainment,1382,406
233,Canal+,5358,406
234,Les Productions Lazennec,5869,406
235,La Sept Cinéma,16366,406
236,Kasso Inc. Productions,22684,406
237,Studio Image,68517,406
238,Cofinergie 6,68518,406
239,Channel Four Films,181,45549
240,British Broadcasting Corporation (BBC),3324,63076
241,Westdeutscher Rundfunk (WDR),7025,63076
242,Canadian Broadcasting Corporation (CBC),12113,63076
243,Cinemax Reel Life,12911,63076
244,InPictures,12912,63076
245,Lafayette Films,12913,63076
246,Columbia Pictures,5,11062
247,Castle Rock Entertainment,97,11062
248,Gracie Films,18,13685
249,Columbia Pictures Corporation,441,13685
250,Touchstone Pictures,9195,47475
251,Metro-Goldwyn-Mayer (MGM),8411,2045
252,Dino De Laurentiis Company,10308,2045
253,Spelling Films,10355,2045
254,Universal Pictures,33,9614
255,Brillstein-Grey Entertainment,1606,9614
256,Robert Simonds Productions,3929,9614
257,Amblin Entertainment,56,688
258,Malpaso Productions,171,688
259,Warner Bros.,6194,688
260,Walt Disney Pictures,2,10874
